Grid ID,X-Permutation,O-Permutation,Knot Type,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
G2602,"(0, 8, 9, 1, 3, 5, 2, 4, 6, 7)","(6, 2, 4, 7, 8, 0, 9, 1, 3, 5)",m12n254,3,0,G2601,G2195,G2196
G1998,"(0, 6, 9, 7, 2, 8, 5, 3, 4, 1)","(2, 1, 3, 5, 6, 4, 0, 7, 9, 8)",12n356,-5,0,G1999,G2405,G2406
G1999,"(0, 5, 4, 6, 9, 7, 8, 1, 3, 2)","(4, 3, 8, 1, 2, 0, 5, 7, 9, 6)",12n356,-5,0,G1998,G2406,G2405
G2000,"(0, 9, 5, 1, 2, 4, 6, 8, 7, 3)","(6, 4, 2, 3, 7, 0, 1, 5, 9, 8)",12n356,-5,0,G2002,G2407,G2409
G2001,"(0, 6, 4, 7, 9, 3, 8, 2, 5, 1)","(3, 2, 9, 1, 5, 6, 4, 7, 0, 8)",12n356,-5,0,G2003,G2408,G2404
G2002,"(0, 7, 3, 2, 4, 6, 8, 9, 5, 1)","(4, 2, 1, 5, 9, 0, 3, 7, 8, 6)",12n356,-5,0,G2000,G2409,G2407
G2003,"(0, 3, 1, 8, 6, 2, 5, 9, 4, 7)","(6, 7, 5, 4, 9, 8, 0, 3, 1, 2)",12n356,-5,0,G2001,G2404,G2408
G2404,"(0, 8, 6, 3, 9, 2, 4, 7, 1, 5)","(4, 2, 1, 7, 5, 6, 8, 0, 9, 3)",12n356,-5,0,G2408,G2003,G2001
G2405,"(0, 6, 3, 5, 4, 8, 7, 9, 1, 2)","(4, 1, 9, 0, 7, 6, 2, 5, 3, 8)",12n356,-5,0,G2406,G1998,G1999
G2406,"(0, 7, 3, 1, 2, 4, 6, 5, 9, 8)","(4, 2, 9, 5, 0, 8, 1, 7, 6, 3)",12n356,-5,0,G2405,G1999,G1998
G2407,"(0, 7, 3, 8, 9, 2, 1, 5, 4, 6)","(5, 1, 9, 0, 6, 7, 4, 3, 8, 2)",12n356,-5,0,G2409,G2000,G2002
