Knot,Grid ID,tb,r,Parents
8a1,S1131,-8,-1,G1011
8a1,S1132,-8,1,G1011
m8a1,S2261,-4,-1,"G1850, G1849, G1848"
m8a1,S2262,-4,1,"G1850, G1849, G1848"
8a2,S1232,-12,-5,"G1015, G1014"
8a2,S1231,-12,-3,"G1012, G1013, G1014, G1015"
8a2,S1230,-12,-1,"G1018, G1017, G1012, G1013, G1016"
8a2,S1233,-12,1,"G1018, G1019, G1017, G1020, G1016"
8a2,S1234,-12,3,"G1020, G1019, G1021, G1022"
8a2,S1235,-12,5,"G1021, G1022"
m8a2,S2323,0,-1,G1851
m8a2,S2324,0,1,G1851
8a3,S1236,-6,-1,"G1023, G1024"
8a3,S1237,-6,1,"G1023, G1024"
8a4,S1238,-4,-1,"G1025, G1026"
8a4,S1239,-4,1,"G1025, G1026"
m8a4,S2326,-8,-3,"G1852, G1853, G1855"
m8a4,S2327,-8,-3,"G1856, G1854"
m8a4,S2325,-8,-1,"G1853, G1857, G1855, G1852, G1856, G1860, G1858, G1854, G1859"
m8a4,S2328,-8,1,"G1865, G1862, G1857, G1863, G1860, G1858, G1864, G1861, G1859"
m8a4,S2329,-8,3,"G1865, G1862"
m8a4,S2330,-8,3,"G1864, G1863, G1861"
8a5,S1242,-12,-5,G1030
8a5,S1241,-12,-3,"G1030, G1029, G1027, G1028"
8a5,S1240,-12,-1,"G1034, G1027, G1033, G1029, G1031, G1028, G1032"
8a5,S1243,-12,1,"G1034, G1036, G1033, G1035, G1037, G1031, G1032"
8a5,S1244,-12,3,"G1038, G1035, G1037, G1036"
8a5,S1245,-12,5,G1038
m8a5,S2331,0,-1,G1866
m8a5,S2332,0,1,G1866
8a6,S1247,-10,-3,"G1041, G1039"
8a6,S1248,-10,-3,G1040
8a6,S1246,-10,-1,"G1042, G1039, G1040, G1041, G1043"
8a6,S1249,-10,1,"G1046, G1042, G1044, G1045, G1043"
8a6,S1250,-10,3,G1045
8a6,S1251,-10,3,"G1046, G1044"
m8a6,S2333,-2,-1,G1868
m8a6,S2334,-2,-1,G1867
