Knot Type,Grid ID,X-Permutation,O-Permutation,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal,x+,x-
10n12,G38,"(0, 8, 7, 4, 5, 6, 2, 3, 1, 9)","(7, 6, 1, 9, 3, 4, 5, 0, 8, 2)",-6,1,--,--,G36,1,1
10n12,G39,"(0, 8, 9, 5, 6, 7, 4, 2, 1, 3)","(4, 2, 6, 7, 8, 3, 1, 0, 5, 9)",-6,1,--,--,?,1,1
10n12,G40,"(0, 1, 9, 7, 2, 3, 4, 8, 6, 5)","(7, 8, 6, 4, 5, 0, 2, 3, 1, 9)",-6,1,--,--,?,1,1
m10n12,G1077,"(0, 9, 8, 1, 3, 2, 4, 5, 7, 6)","(7, 2, 0, 5, 9, 6, 1, 3, 4, 8)",-4,-1,--,--,G1079,1,1
m10n12,G1078,"(0, 9, 1, 3, 2, 4, 5, 8, 7, 6)","(7, 2, 4, 0, 5, 6, 1, 3, 9, 8)",-4,-1,--,--,G1080,1,1
m10n12,G1079,"(0, 5, 4, 8, 9, 1, 6, 3, 7, 2)","(3, 2, 6, 5, 7, 8, 0, 9, 1, 4)",-4,-1,--,--,G1077,1,1
m10n12,G1080,"(0, 9, 1, 3, 2, 4, 5, 8, 7, 6)","(7, 2, 5, 0, 6, 1, 3, 4, 9, 8)",-4,-1,--,--,G1078,1,1
m10n12,G1081,"(0, 9, 8, 1, 2, 4, 3, 5, 7, 6)","(8, 7, 2, 3, 5, 0, 6, 1, 4, 9)",-4,1,--,--,G1083,1,1
m10n12,G1082,"(0, 5, 9, 6, 1, 3, 4, 8, 7, 2)","(8, 1, 3, 2, 4, 5, 7, 6, 0, 9)",-4,1,--,--,G1084,1,1
m10n12,G1083,"(0, 9, 8, 1, 2, 4, 3, 5, 7, 6)","(8, 7, 3, 5, 0, 1, 6, 2, 4, 9)",-4,1,--,--,G1081,1,1
m10n12,G1084,"(0, 9, 1, 2, 4, 3, 5, 8, 7, 6)","(8, 2, 3, 5, 0, 7, 1, 6, 4, 9)",-4,1,--,--,G1082,1,1
10n14,G41,"(0, 2, 7, 5, 6, 3, 4, 9, 8, 1)","(5, 6, 4, 1, 8, 7, 2, 3, 0, 9)",-7,0,G46,G45,G44,1,1
10n14,G42,"(0, 6, 9, 1, 2, 5, 4, 8, 7, 3)","(5, 2, 3, 4, 0, 1, 7, 6, 9, 8)",-7,0,G51,G49,G48,1,1
10n14,G43,"(0, 1, 9, 4, 6, 5, 8, 7, 2, 3)","(5, 8, 2, 0, 3, 7, 6, 1, 4, 9)",-7,0,?,?,G47,1,1
10n14,G44,"(0, 8, 9, 5, 4, 1, 2, 7, 6, 3)","(7, 2, 4, 3, 6, 5, 0, 1, 8, 9)",-7,0,G45,G46,G41,1,1
10n14,G45,"(0, 6, 7, 5, 2, 9, 8, 3, 4, 1)","(2, 1, 3, 8, 6, 7, 4, 5, 0, 9)",-7,0,G44,G41,G46,1,1
10n14,G46,"(0, 8, 9, 3, 2, 7, 6, 1, 4, 5)","(4, 1, 2, 0, 6, 5, 8, 7, 9, 3)",-7,0,G41,G44,G45,1,1
10n14,G47,"(0, 1, 8, 9, 3, 5, 4, 7, 6, 2)","(3, 7, 2, 4, 8, 0, 6, 5, 1, 9)",-7,0,?,?,G43,1,1
10n14,G48,"(0, 9, 5, 2, 1, 6, 4, 7, 8, 3)","(7, 4, 1, 0, 3, 2, 8, 9, 5, 6)",-7,0,G49,G51,G42,1,1
10n14,G49,"(0, 6, 5, 8, 7, 4, 1, 2, 3, 9)","(4, 3, 7, 6, 2, 9, 5, 8, 0, 1)",-7,0,G48,G42,G51,1,1
10n14,G50,"(0, 8, 9, 4, 3, 5, 7, 6, 1, 2)","(5, 1, 3, 0, 6, 2, 4, 8, 7, 9)",-7,0,?,?,G52,1,1
10n14,G51,"(0, 7, 4, 3, 6, 5, 1, 2, 8, 9)","(3, 2, 8, 5, 4, 9, 7, 0, 1, 6)",-7,0,G42,G48,G49,1,1
10n14,G52,"(0, 8, 9, 4, 3, 5, 7, 6, 1, 2)","(3, 1, 5, 2, 6, 0, 4, 8, 7, 9)",-7,0,?,?,G50,1,1
m10n14,G1085,"(0, 3, 5, 6, 2, 4, 9, 1, 8, 7)","(6, 8, 7, 1, 9, 0, 3, 5, 4, 2)",-3,0,?,?,G1087,1,1
m10n14,G1086,"(0, 2, 7, 8, 1, 5, 6, 9, 4, 3)","(4, 8, 9, 6, 7, 0, 3, 2, 1, 5)",-3,0,?,?,G1088,1,1
m10n14,G1087,"(0, 4, 1, 8, 5, 9, 6, 7, 3, 2)","(8, 9, 7, 3, 0, 2, 1, 4, 6, 5)",-3,0,?,?,G1085,1,1
m10n14,G1088,"(0, 1, 5, 8, 2, 9, 7, 6, 3, 4)","(2, 9, 0, 3, 6, 5, 4, 8, 7, 1)",-3,0,?,?,G1086,1,1
10n15,G53,"(0, 7, 3, 4, 6, 5, 8, 9, 2, 1)","(4, 2, 5, 1, 3, 9, 0, 7, 8, 6)",-7,0,G60,G56,G55,1,1
10n15,G54,"(0, 1, 8, 9, 6, 7, 5, 4, 2, 3)","(2, 5, 4, 7, 8, 3, 0, 9, 6, 1)",-7,0,G54,G54,G54,1,1
10n15,G55,"(0, 8, 9, 6, 7, 4, 5, 1, 3, 2)","(5, 3, 7, 8, 1, 0, 2, 4, 9, 6)",-7,0,G56,G60,G53,1,1
10n15,G56,"(0, 8, 6, 4, 7, 3, 5, 1, 2, 9)","(4, 3, 2, 9, 5, 6, 8, 7, 0, 1)",-7,0,G55,G53,G60,1,1
10n15,G57,"(0, 9, 8, 2, 1, 3, 7, 4, 6, 5)","(7, 6, 3, 4, 5, 0, 2, 9, 1, 8)",-7,0,G59,G59,G57,1,1
10n15,G58,"(0, 2, 4, 3, 1, 8, 9, 6, 5, 7)","(3, 9, 0, 6, 5, 4, 7, 2, 8, 1)",-7,0,?,?,G61,1,1
10n15,G59,"(0, 7, 8, 9, 4, 6, 3, 5, 2, 1)","(3, 2, 6, 5, 7, 1, 8, 0, 9, 4)",-7,0,G57,G57,G59,1,1
10n15,G60,"(0, 1, 8, 7, 9, 6, 4, 5, 2, 3)","(6, 9, 5, 0, 2, 1, 8, 3, 4, 7)",-7,0,G53,G55,G56,1,1
10n15,G61,"(0, 9, 5, 4, 6, 2, 3, 7, 1, 8)","(7, 2, 1, 0, 3, 5, 8, 9, 6, 4)",-7,0,?,?,G58,1,1
m10n15,G1089,"(0, 9, 5, 4, 7, 6, 8, 1, 2, 3)","(8, 1, 0, 6, 5, 2, 3, 4, 7, 9)",-3,0,G1090,G1090,G1089,1,1
m10n15,G1090,"(0, 4, 5, 6, 3, 2, 7, 9, 8, 1)","(6, 7, 8, 2, 1, 4, 3, 5, 0, 9)",-3,0,G1089,G1089,G1090,1,1
m10n15,G1091,"(0, 7, 8, 5, 4, 9, 2, 3, 6, 1)","(2, 1, 4, 3, 6, 5, 7, 8, 0, 9)",-3,0,G1091,G1091,G1091,1,1
m10n15,G1092,"(0, 5, 4, 3, 6, 7, 8, 1, 9, 2)","(3, 1, 2, 8, 9, 0, 5, 6, 4, 7)",-3,0,G1093,G1092,G1093,1,1
m10n15,G1093,"(0, 8, 6, 7, 9, 3, 4, 5, 1, 2)","(3, 2, 1, 4, 5, 6, 8, 0, 7, 9)",-3,0,G1092,G1093,G1092,1,1
