Knot Type,Grid ID,X-Permutation,O-Permutation,tb,r,grid ID num,Grid ID,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
8a1,G1011,"(0, 9, 2, 1, 4, 3, 7, 8, 5, 6)","(8, 1, 0, 3, 2, 5, 4, 6, 7, 9)",-7,0,#REF!,G1011,G1011,G1011,G1011
m8a1,G1848,"(0, 8, 1, 9, 4, 2, 5, 3, 7, 6)","(5, 2, 7, 3, 0, 6, 1, 8, 9, 4)",-3,0,#REF!,G1848,G1848,G1848,G1848
m8a1,G1849,"(0, 1, 8, 9, 6, 7, 5, 4, 2, 3)","(2, 9, 0, 7, 8, 4, 3, 6, 5, 1)",-3,0,#REF!,G1849,G1849,G1849,G1849
m8a1,G1850,"(0, 6, 4, 8, 7, 2, 1, 3, 5, 9)","(8, 9, 7, 6, 3, 5, 4, 0, 1, 2)",-3,0,#REF!,G1850,G1850,G1850,G1850
8a2,G1014,"(0, 2, 3, 9, 8, 7, 6, 5, 4, 1)","(3, 4, 1, 2, 0, 9, 8, 7, 6, 5)",-11,-4,#REF!,G1014,--,--,G1014
8a2,G1015,"(0, 9, 8, 7, 4, 5, 3, 2, 6, 1)","(2, 1, 0, 9, 6, 8, 7, 4, 3, 5)",-11,-4,#REF!,G1015,--,--,G1015
8a2,G1012,"(0, 9, 7, 8, 6, 5, 3, 2, 4, 1)","(2, 1, 0, 5, 4, 9, 7, 6, 8, 3)",-11,-2,#REF!,G1012,--,--,G1013
8a2,G1013,"(0, 7, 6, 4, 5, 3, 2, 1, 9, 8)","(6, 5, 9, 8, 0, 7, 4, 3, 2, 1)",-11,-2,#REF!,G1013,--,--,G1012
8a2,G1016,"(0, 2, 9, 1, 8, 7, 5, 4, 6, 3)","(5, 4, 3, 7, 6, 0, 2, 9, 1, 8)",-11,0,#REF!,G1016,G1016,G1016,G1016
8a2,G1017,"(0, 9, 1, 8, 6, 5, 7, 3, 2, 4)","(5, 4, 7, 3, 0, 9, 2, 1, 6, 8)",-11,0,#REF!,G1017,G1018,G1017,G1018
8a2,G1018,"(0, 9, 1, 8, 6, 5, 7, 3, 2, 4)","(5, 3, 7, 4, 0, 9, 2, 1, 8, 6)",-11,0,#REF!,G1018,G1017,G1018,G1017
8a2,G1019,"(0, 9, 7, 6, 5, 3, 4, 2, 1, 8)","(7, 6, 5, 4, 1, 8, 0, 9, 3, 2)",-11,2,#REF!,G1019,--,--,G1020
8a2,G1020,"(0, 7, 9, 8, 6, 5, 3, 4, 2, 1)","(8, 3, 5, 4, 2, 7, 6, 1, 0, 9)",-11,2,#REF!,G1020,--,--,G1019
8a2,G1021,"(0, 7, 6, 5, 4, 3, 2, 8, 9, 1)","(6, 5, 4, 3, 2, 1, 9, 0, 7, 8)",-11,4,#REF!,G1021,--,--,G1021
8a2,G1022,"(0, 5, 9, 8, 6, 7, 4, 3, 2, 1)","(6, 8, 7, 4, 3, 5, 2, 1, 0, 9)",-11,4,#REF!,G1022,--,--,G1022
m8a2,G1851,"(0, 1, 2, 3, 5, 4, 7, 6, 8, 9)","(8, 9, 0, 1, 2, 6, 5, 3, 4, 7)",1,0,#REF!,G1851,?,G1851,?
8a3,G1023,"(0, 5, 4, 6, 7, 2, 3, 9, 8, 1)","(2, 1, 7, 3, 5, 4, 8, 6, 0, 9)",-5,0,#REF!,G1023,G1023,G1023,G1023
8a3,G1024,"(0, 9, 2, 1, 4, 3, 7, 8, 5, 6)","(5, 1, 0, 3, 2, 8, 9, 6, 7, 4)",-5,0,#REF!,G1024,G1024,G1024,G1024
8a4,G1025,"(0, 1, 7, 8, 2, 9, 5, 3, 6, 4)","(2, 5, 3, 6, 7, 4, 0, 9, 1, 8)",-3,0,#REF!,G1025,?,?,G1026
8a4,G1026,"(0, 7, 9, 8, 4, 1, 2, 5, 3, 6)","(4, 2, 5, 3, 9, 6, 0, 1, 7, 8)",-3,0,#REF!,G1026,?,?,G1026
